Definition,Frequency,Rank
I,10241,1
and,26817,1
in,18214,1
not,7995,1
you (singular),6984,1
you (plural),6984,1
with,6575,1
they (singular),6081,1
they (plural),6081,1
at,4790,1
this,4623,1
we,4202,1
that,3792,1
to say,3344,1
what,2493,1
all,2436,1
if,2369,1
who,2055,1
one,1962,1
to see,1920,1
to know,1882,1
some,1712,1
year,1639,1
two,1563,1
to think,1520,1
to come,1512,1
other,1336,1
to give,1284,1
good,1276,1
new,1154,1
how,1016,1
man (adult male),1003,1
man (human being),1003,1
day,940,1
many,902,1
because,852,1
three,800,1
there,746,1
child,710,1
here,699,1
old,648,1
woman,631,1
where,628,1
hand,532,1
small,518,1
to hold,481,1
four,465,1
to turn (intransitive),465,1
few,450,1
when,431,1
five,409,2
head,402,2
night,393,2
long,392,2
eye,392,2
to play,386,2
water,372,2
to hear,367,2
right,354,2
big,338,2
to live,329,2
to stand,326,2
name,326,2
road,313,2
to sit,300,2
mother,295,2
full,289,2
far,288,2
to fall,273,2
bad,264,2
father,252,2
black,226,2
to die,220,2
to walk,215,2
foot,214,2
back,212,2
white,207,2
short,198,2
wife,190,2
to lie (as in a bed),187,2
to cut,184,2
wide,165,2
to kill,157,2
animal,153,2
heart,152,2
hair,150,2
tree,147,2
bark (of a tree),147,2
fire,145,2
to eat,144,2
to pull,140,2
sea,139,2
red,126,2
dog,124,2
husband,123,2
leg,118,2
to throw,115,2
sun,115,2
river,114,2
stone,112,2
to fight,108,2
to hit,107,2
to push,107,2
heavy,105,2
fish,105,2
cold,103,2
blood,102,2
green,101,2
star,100,2
mouth,99,2
to laugh,98,2
earth,97,2
left,95,2
bird,93,2
forest,90,2
to fly,90,2
wind,85,2
flower,76,2
skin,75,2
to drink,75,2
warm,70,2
to sleep,68,2
mountain,68,2
rain,64,2
to sing,63,2
egg,62,2
neck,60,2
ear,59,2
correct,59,2
thin,56,2
sky,56,2
dry,56,2
narrow,54,2
tooth,54,2
wing,53,2
to fear,53,2
to burn,53,2
thick,51,2
fruit,51,2
leaf,51,2
to blow,51,2
lake,51,2
to sew,50,2
to count,50,2
to wash,49,2
nose,48,2
bone,47,2
knee,46,2
root,45,2
grass,45,2
sharp (as a knife),44,2
near,44,2
to tie,42,2
ice,41,2
yellow,41,2
meat,38,2
cloud,37,2
wet,37,2
to breathe,35,2
sand,34,2
salt,33,2
seed,32,2
tail,32,2
to split,32,2
straight,32,2
belly,31,2
guts,31,2
moon,31,2
snow,31,2
smooth,30,2
breast,29,2
smoke,29,2
tongue (organ),28,2
to dig,28,2
round,28,2
dirty,27,2
stick,26,2
to flow,26,2
dust,26,2
to smell,25,2
to swim,25,2
to wipe,24,2
to rub,23,2
rope,22,2
to bite,22,2
fat (noun),21,2
to squeeze,21,2
fingernail,20,2
to float,20,2
to freeze,20,2
dull (as a knife),18,2
liver,17,2
horn,16,2
to suck,16,2
to hunt,15,2
rotten,15,2
feather,13,2
ash,13,2
louse,12,2
snake,12,2
worm,12,2
to scratch,12,2
to spit,11,2
to vomit,11,2
to stab,11,2
fog,11,2
to swell,10,2
